role,manufacturer,device_type,status,site,name,serial,rack,position,face,comments,cf_contract_number,cf_year_of_investment
Switch,Dell,PowerSwitch S5248F-ON,active,VNPT NTL,DELL S5248F-ON ,64DR363,M04,42,front,,002/21/HCD-001/KOUY,2021-07-08
Switch,Dell,PowerSwitch S5248F-ON,active,VNPT NTL,DELL S5248F-ON - 1,64KR363,M04,40,front,,002/21/HCD-001/KOUY,2021-07-08
Switch,Cisco,Nexus 9336C-FX2,active,VNPT NTL, Nexus 9300 - C9336C,FD025230ZC2,M04,38,front,,992/21/HTV-001/qwtu,2021-01-08
Switch,Cisco,Nexus 9336C-FX2,active,VNPT NTL,Nexus 9300 - C9336C - 1,FD025250F3P,M04,36,front,,992/21/HTV-001/qwtu,2021-01-08
Switch,Cisco,Nexus 93180YC-EX,active,VNPT NTL,Nexus 9300 - C93180YC,FD025270GXF,M04,34,front,,992/21/HTV-001/qwtu,2021-01-08
Switch,Cisco,Nexus 93180YC-EX,active,VNPT NTL,Nexus 9300 - C93180YC - 1,FD02527086E,M04,32,front,,992/21/HTV-001/qwtu,2021-01-08
Switch,Cisco,Catalyst 9200L-24P-4G,active,VNPT NTL,Sw Out of Band,JAE24450F2F,M04,30,front,Thiết bị thuộc quản lý phòng mạng,,2021-01-08
Switch,Cisco,Nexus 93240YC-FX2,active,VNPT NTL,VCF_N9K-C93240YCFX2_02,FDO280905AK,M04,27,front,NamBV1 lắp đặt ngày 02/10/2024 theo tờ trình số 06 bbbg 35,,2024-10-02
Switch,Cisco,Nexus 93240YC-FX2,active,VNPT NTL,VCF_N9K-C93240YCFX2_01,FDO280905D0,M04,25,front,NamBV1 lắp đặt ngày 02/10/2024 theo tờ trình số 06 bbbg 35,,2024-10-02
Server,Dell,PowerEdge R640,active,VNPT NTL,R640 (Type 4),2G7XHF3,M04,24,front,Chuyển từ U11-F2-DC2 ngày 11/04/2023,68686/21/bbyy-678/ASDF,2023-04-11
Server,Dell,PowerEdge R640,active,VNPT NTL,R640 (Type 4) - 1,JG7XHF3,M04,23,front,Chuyển từ U12-F2-DC2 ngày 11/04/2023,68686/21/bbyy-678/ASDF,2023-04-11
Server,Dell,PowerEdge R640,active,VNPT NTL,R640 (Type 4) - 2,1G7XHF3,M04,22,front,Chuyển từ U13-F2-DC2 ngày 11/04/2023,68686/21/bbyy-678/ASDF,2023-04-11
Server,Dell,PowerEdge R640,active,VNPT NTL,DELL R640 - 1,JNSVHF3,M04,20,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R640,active,VNPT NTL,DELL R640 - 2,GNSVHF3,M04,19,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R640,active,VNPT NTL,DELL R640 - 3,1PSVHF3,M04,18,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R640,active,VNPT NTL,DELL R640 - 4,BNSVHF3,M04,17,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL08,26T54F3,M04,15,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL07,46T54F3,M04,13,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL06,36T54F3,M04,11,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL05,16T54F3,M04,9,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL04,H5T54F3,M04,7,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL03,F5T54F3,M04,5,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL02,66T54F3,M04,3,front,,002/21/HCD-001/KOUY,2021-07-08
Server,Dell,PowerEdge R750,active,VNPT NTL,VxRAIL01,86T54F3,M04,1,front,,002/21/HCD-001/KOUY,2021-07-08
